Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
100,0.22,-0.554,0.12,-0.657,0.6,-0.578,0.2,-0.616,0.209,-0.622,0.14,-0.707,0.15,-0.691,0.1844,-0.712
100,0.22,-0.686,0.12,-0.621,0.6,-0.76,0.2,-0.762,0.209,-0.688,0.14,-0.647,0.15,-0.627,0.1844,-0.601
100,0.22,-0.565,0.12,-0.615,0.6,-0.602,0.2,-0.608,0.209,-0.655,0.14,-0.716,0.15,-0.694,0.1844,-0.759
100,0.22,-0.531,0.12,-0.635,0.6,-0.586,0.2,-0.64,0.209,-0.63,0.14,-0.702,0.15,-0.653,0.1844,-0.717
100,0.22,-0.605,0.12,-0.64,0.6,-0.653,0.2,-0.581,0.209,-0.593,0.14,-0.68,0.15,-0.653,0.1844,-0.691
100,0.22,-0.605,0.12,-0.599,0.6,-0.657,0.2,-0.634,0.209,-0.605,0.14,-0.673,0.15,-0.672,0.1844,-0.661
100,0.22,-0.681,0.12,-0.669,0.6,-0.774,0.2,-0.746,0.209,-0.673,0.14,-0.647,0.15,-0.593,0.1844,-0.616
100,0.22,-0.598,0.12,-0.577,0.6,-0.638,0.2,-0.599,0.209,-0.609,0.14,-0.676,0.15,-0.667,0.1844,-0.668
100,0.22,-0.568,0.12,-0.654,0.6,-0.599,0.2,-0.638,0.209,-0.634,0.14,-0.699,0.15,-0.648,0.1844,-0.695
100,0.22,-0.532,0.12,-0.604,0.6,-0.565,0.2,-0.672,0.209,-0.639,0.14,-0.703,0.15,-0.649,0.1844,-0.714
100,0.22,-0.651,0.12,-0.636,0.6,-0.7,0.2,-0.686,0.209,-0.59,0.14,-0.603,0.15,-0.663,0.1844,-0.614
100,0.22,-0.65,0.12,-0.663,0.6,-0.702,0.2,-0.71,0.209,-0.636,0.14,-0.538,0.15,-0.674,0.1844,-0.623
100,0.22,-0.689,0.12,-0.656,0.6,-0.765,0.2,-0.772,0.209,-0.671,0.14,-0.628,0.15,-0.608,0.1844,-0.604
100,0.22,-0.495,0.12,-0.604,0.6,-0.595,0.2,-0.661,0.209,-0.645,0.14,-0.713,0.15,-0.661,0.1844,-0.702
100,0.22,-0.51,0.12,-0.633,0.6,-0.596,0.2,-0.673,0.209,-0.66,0.14,-0.714,0.15,-0.66,0.1844,-0.698
100,0.22,-0.68,0.12,-0.609,0.6,-0.766,0.2,-0.743,0.209,-0.68,0.14,-0.649,0.15,-0.559,0.1844,-0.628
100,0.22,-0.682,0.12,-0.669,0.6,-0.774,0.2,-0.746,0.209,-0.673,0.14,-0.647,0.15,-0.594,0.1844,-0.616
100,0.22,-0.607,0.12,-0.595,0.6,-0.656,0.2,-0.637,0.209,-0.603,0.14,-0.672,0.15,-0.671,0.1844,-0.661
100,0.22,-0.598,0.12,-0.623,0.6,-0.655,0.2,-0.58,0.209,-0.598,0.14,-0.702,0.15,-0.683,0.1844,-0.677
100,0.22,-0.535,0.12,-0.609,0.6,-0.563,0.2,-0.623,0.209,-0.643,0.14,-0.711,0.15,-0.716,0.1844,-0.716
100,0.22,-0.512,0.12,-0.653,0.6,-0.6,0.2,-0.665,0.209,-0.642,0.14,-0.712,0.15,-0.675,0.1844,-0.694
100,0.22,-0.623,0.12,-0.661,0.6,-0.638,0.2,-0.591,0.209,-0.561,0.14,-0.638,0.15,-0.623,0.1844,-0.68
100,0.22,-0.531,0.12,-0.645,0.6,-0.581,0.2,-0.637,0.209,-0.627,0.14,-0.695,0.15,-0.655,0.1844,-0.719
